File created at:2020-08-02----12:13:17.326
Information for lesson Ai

*************** Pass Information *****************
ID:thl1234        Grade:5.16806236
ID:thl15678        Grade:7.92851748
ID:thl1456        Grade:9.999998
ID:thl5823        Grade:7.027378479999999
ID:thl6712        Grade:7.451056469999999
ID:thl8901        Grade:9.78250424

**************************************************

*************** Fail Information *****************
ID:thl8965        Grade:3.94373372
ID:thl6789        Grade:1.4547594799999999
ID:thl6134        Grade:4.60874598
ID:thl1765        Grade:2.5174933

**************************************************
